kulturcode,kulturart 2012,kulturart 2013,kulturart 2014,kulturart 2015,kulturart 2016,kulturart 2017,kulturart 2018,kulturart 2019,kulturart 2020,kulturart 2021,kulturart 2022,kulturart 2023,kulturart 2024,latest_kulturart,all_kulturart,take_latest,take_Gruppe,new_kulturart,new_kulturcode
120,,,,,,,,,,,,,,,,,,Dinkel,114
125,,,,,,,,,,,,,,,,,,Menggetreide ohne Weizen,126
126,,,,,,,,,,,,,,,,,,Menggetreide ohne Weizen,126
131,,,,,,,,,,,,,,,,,,Gerste,132
132,,,,,,,,,,,,,,,,,,Gerste,132
142,,,,,,,,,,,,,,,,,,Hafer,142
143,,,,,,,,,,,,,,,,,,Hafer,142
144,,,,,,,,,,,,,,,,,,Menggetreide ohne Weizen,126
150,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,Triticale,156
156,,,,,,,,,,,,,,,,,,Triticale,156
157,,,,,,,,,,,,,,,,,,Triticale,156
174,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,292
55,,,,Ufervegetation,Ufervegetation,Ufervegetation,Ufervegetation ÖVF,Ufervegetation ÖVF,Ufervegetation ÖVF,Ufervegetation ÖVF,Ufervegetation ÖVF,,,Ufervegetation ÖVF,"Ufervegetation, Ufervegetation ÖVF",,1,,
57,,,,,,,Pufferstreifen ÖVF DGL,Feldrand / Pufferstreifen ÖVF DGL,Feldrand / Pufferstreifen ÖVF DGL,Feldrand / Pufferstreifen ÖVF DGL,Feldrand / Pufferstreifen ÖVF DGL,,,Feldrand / Pufferstreifen ÖVF DGL,"Pufferstreifen ÖVF DGL, Feldrand / Pufferstreifen ÖVF DGL",,1,,
58,,,,,,,Feldrand ÖVF,Feldrand / Pufferstreifen ÖVF AL,Feldrand / Pufferstreifen ÖVF AL,Feldrand / Pufferstreifen ÖVF AL,Feldrand / Pufferstreifen ÖVF AL,,,Feldrand / Pufferstreifen ÖVF AL,"Feldrand ÖVF, Feldrand / Pufferstreifen ÖVF AL",,1,,
60,,,,,,,Leguminosen ÖVF,Leguminosen ÖVF,Leguminosen ÖVF,Leguminosen ÖVF,Leguminosen ÖVF,Zwischenfrucht / Gründecke,,Zwischenfrucht / Gründecke,"Leguminosen ÖVF, Zwischenfrucht / Gründecke",,1,,
61,,,,,,,Aufforstungsflächen ÖVF,Aufforstungsflächen ÖVF,Aufforstungsflächen ÖVF,Aufforstungsflächen ÖVF,Aufforstungsflächen ÖVF,Untersaat,,Untersaat,"Aufforstungsflächen ÖVF, Untersaat",,1,,
62,,,,,,,,Brachen ohne Erzeugung ÖVF,Brachen ohne Erzeugung ÖVF,Brachen ohne Erzeugung ÖVF,Brachen ohne Erzeugung ÖVF,GLÖZ8 nicht produktive Fläche (Selbstbegrünung),,GLÖZ8 nicht produktive Fläche (Selbstbegrünung),"Brachen ohne Erzeugung ÖVF, GLÖZ8 nicht produktive Fläche (Selbstbegrünung)",,1,,
63,,,,,,,Miscantus,Miscantus,Miscanthus,Miscanthus,Miscanthus,Mindestbodenbedeckung durch Mehrjährigkeit,,Mindestbodenbedeckung durch Mehrjährigkeit,"Miscantus, Miscanthus, Mindestbodenbedeckung durch Mehrjährigkeit",,1,,
65,,,,,,,brachliegende Flächen oVF Honigpflanzen -einjährig,Brache mit Honigpflanzen - einjährig,Brache mit Honigpflanzen -einjährig,Honigbrache - einjährig,Honigbrache - einjährig,Zwischenfrucht mit Hanfanteil,,Zwischenfrucht mit Hanfanteil,"brachliegende Flächen oVF Honigpflanzen -einjährig, Brache mit Honigpflanzen - einjährig, Brache mit Honigpflanzen -einjährig, Honigbrache - einjährig, Zwischenfrucht mit Hanfanteil",,1,,
66,,,,,,,brachliegende Flächen oVF Honigpflanzen -mehrjährig,Brache mit Honigpflanzen - mehrjährig,Brache mit Honigpflanzen -mehrjährig,Honigbrache - mehrjährig,Honigbrache - mehrjährig,GLÖZ8 nicht produktive Fläche (aktive Begrünung),,GLÖZ8 nicht produktive Fläche (aktive Begrünung),"brachliegende Flächen oVF Honigpflanzen -mehrjährig, Brache mit Honigpflanzen - mehrjährig, Brache mit Honigpflanzen -mehrjährig, Honigbrache - mehrjährig, GLÖZ8 nicht produktive Fläche (aktive Begrünung)",,1,,
112,,,,Winterhartweizen/Durum,Winterhartweizen/Durum,Winterhartweizen/Durum,Winterhartweizen/Durum,Winterhartweizen/Durum,Winterhartweizen/Durum,Winterhartweizen/Durum,Winterhartweizen/Durum,Winterdurum (Hartweizen),Winterdurum (Hartweizen),Winterdurum (Hartweizen),"Winterhartweizen/Durum, Winterdurum (Hartweizen)",,,Hartweizen,112
113,Hartweizen (Durum),Hartweizen (Durum),Hartweizen (Durum),Sommerhartweizen/Durum,Sommerhartweizen/Durum,Sommerhartweizen/Durum,Sommerhartweizen/Durum,Sommerhartweizen/Durum,Sommerhartweizen/Durum,Sommerhartweizen/Durum,Sommerhartweizen/Durum,Sommerdurum (Hartweizen),Sommerdurum (Hartweizen),Sommerdurum (Hartweizen),"Hartweizen (Durum), Sommerhartweizen/Durum, Sommerdurum (Hartweizen)",,,Hartweizen,112
114,Dinkel,Dinkel,Dinkel,Winterdinkel,Winterdinkel,Winterdinkel,Winter-Dinkel,Winter-Dinkel,Winter-Dinkel,Winter-Dinkel,Winter-Dinkel,Winter-Dinkel,Winter-Dinkel,Winter-Dinkel,"Dinkel, Winterdinkel, Winter-Dinkel",,,Dinkel,114
120,,,,Sommer-Dinkel,,,,,,,,,,,,,,Dinkel,114
115,Winterweizen (ohne Durum),Winterweizen (ohne Durum),Winterweizen (ohne Durum),Winterweichweizen,Winterweichweizen,Winterweichweizen,Winterweichweizen,Winterweichweizen,Winterweichweizen,Winterweichweizen,Winterweichweizen,Winterweichweizen,Winterweichweizen,Winterweichweizen,"Winterweizen (ohne Durum), Winterweichweizen",,,Weichweizen,116
116,Sommerweizen (ohne Durum),Sommerweizen (ohne Durum),Sommerweizen (ohne Durum),Sommerweichweizen,Sommerweichweizen,Sommerweichweizen,Sommerweichweizen,Sommerweichweizen,Sommerweichweizen,Sommerweichweizen,Sommerweichweizen,Sommerweichweizen,Sommerweichweizen,Sommerweichweizen,"Sommerweizen (ohne Durum), Sommerweichweizen",,,Weichweizen,116
118,,,,Winteremmer/ -einkorn,Winteremmer/ -einkorn,Winteremmer/ -einkorn,Winter-Emmer/ -einkorn,Winter-Emmer/ -einkorn,Winter-Emmer/-Einkorn,Winter-Emmer/-Einkorn,Winter-Emmer/-Einkorn,Winter-Emmer/-Einkorn,Winter-Emmer/-Einkorn,Winter-Emmer/-Einkorn,"Winteremmer/ -einkorn, Winter-Emmer/ -einkorn, Winter-Emmer/-Einkorn",,,Emmer/-Einkorn,118
119,,,,Sommeremmer/ -einkorn,Sommeremmer/ -einkorn,Sommeremmer/ -einkorn,Sommer-Emmer/ -einkorn,Sommer-Emmer/ -einkorn,Sommer-Emmer/-Einkorn,Sommer-Emmer/-Einkorn,Sommer-Emmer/-Einkorn,Sommer-Emmer/-Einkorn,Sommer-Emmer/-Einkorn,Sommer-Emmer/-Einkorn,"Sommeremmer/ -einkorn, Sommer-Emmer/ -einkorn, Sommer-Emmer/-Einkorn",,,Emmer/-Einkorn,118
121,Winterroggen,Winterroggen,Winterroggen,Winterroggen,Winterroggen,"Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winterroggen, Winter-Waldstaudenroggen",,,Roggen,122
122,Sommerroggen,Sommerroggen,Sommerroggen,Sommerroggen,Sommerroggen,"Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommerroggen, Sommer-Waldstaudenroggen",,,Roggen,122
145,Sommermenggetreide,Sommermenggetreide,Sommermenggetreide,,Sommermenggetreide ohne Weizen,Sommermenggetreide ohne Weizen,Sommermenggetreide ohne Weizen,Sommermenggetreide ohne Weizen,Sommermenggetreide ohne Weizen,Sommermenggetreide ohne Weizen,Sommermenggetreide ohne Weizen,Sommermenggetreide ohne Weizen,Sommermenggetreide ohne Weizen,Sommermenggetreide ohne Weizen,"Sommermenggetreide, Sommermenggetreide ohne Weizen",,,Menggetreide ohne Weizen,126
171,Körnermais,Körnermais,Körnermais,Körnermais einschl. CCM / Mais,Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411),"Körnermais, Körnermais einschl. CCM / Mais, Mais (ohne Silomais NC 411)",1,,,
172,Corn-Cob-Mix,Corn-Cob-Mix,Corn-Cob-Mix,,Mais (Biogas),Mais (Biogas),Mais (Biogas),Mais (Biogas),Mais (Biogas),Mais (Biogas),Mais (Biogas),,,Mais (Biogas),"Corn-Cob-Mix, Mais (Biogas)",,,"Corn-Cob-Mix, Mais (Biogas)",
175,Mischanbau Silomais und Sonnenblumen ,Mischanbau Silomais und Sonnenblumen ,Mischanbau Silomais und Sonnenblumen,,,,,,,,,,,Mischanbau Silomais und Sonnenblumen,"Mischanbau Silomais und Sonnenblumen , Mischanbau Silomais und Sonnenblumen",,,Andere Mais,176
176,"Mais mit Bejagungsschneisen oder Blühstreifen, wobei die Bejagungsschneisen bzw. Blühstreifen aus der Erzeugung genommen werden","Mais mit Bejagungsschneisen oder Blühstreifen, wobei die Bejagungsschneisen bzw. Blühstreifen aus der Erzeugung genommen werden","Mais mit Bejagungsschneisen oder Blühstreifen, wobei die Bejagungsschneisen bzw.
Blühstreifen aus der Erzeugung genommen werden",,,,,,,,,,,"Mais mit Bejagungsschneisen oder Blühstreifen, wobei die Bejagungsschneisen bzw.
Blühstreifen aus der Erzeugung genommen werden","Mais mit Bejagungsschneisen oder Blühstreifen, wobei die Bejagungsschneisen bzw. Blühstreifen aus der Erzeugung genommen werden, Mais mit Bejagungsschneisen oder Blühstreifen, wobei die Bejagungsschneisen bzw.
Blühstreifen aus der Erzeugung genommen werden",,,Andere Mais,176
177,"Mais mit Bejagungsschneisen oder Blühstreifen, die mit Kulturpflanzen bebaut oder geerntet werden","Mais mit Bejagungsschneisen oder Blühstreifen, die mit Kulturpflanzen bebaut oder geerntet werden","Mais mit Bejagungsschneisen oder Blühstreifen, die mit Kulturpflanzen bebaut oder
geerntet werden",,,Mais mit Blüh- und/oder Bejagungsschneisen,Mais mit Blüh- und/oder Bejagungsschneisen,,,,,,,Mais mit Blüh- und/oder Bejagungsschneisen,"Mais mit Bejagungsschneisen oder Blühstreifen, die mit Kulturpflanzen bebaut oder geerntet werden, Mais mit Bejagungsschneisen oder Blühstreifen, die mit Kulturpflanzen bebaut oder
geerntet werden, Mais mit Blüh- und/oder Bejagungsschneisen",1,,Andere Mais,176
181,,,,Rispenhirse (Panicum),Rispenhirse/Rutenhirse,"Rispenhirse, Rutenhirse","Rispenhirse, Rutenhirse",Rispenhirse,Rispenhirse,Rispenhirse,Rispenhirse,Rispenhirse,Rispenhirse,Rispenhirse,"Rispenhirse (Panicum), Rispenhirse/Rutenhirse, Rispenhirse, Rutenhirse, Rispenhirse",1,,,
183,,,,Sorghumhirse (Körnersorghum),Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-/Zuckerhirse (ohne Sudangras NC 803),"Sorghumhirse (Körnersorghum), Mohren-/Zuckerhirse (ohne Sudangras NC 803)",1,,,
186,,,,Amarant (Fuchsschwanz),"Amarant, Fuchsschwanz","Amarant, Fuchsschwanz","Amarant, Fuchsschwanz","Amarant, Fuchsschwanz","Amarant, Fuchsschwanz","Amarant, Fuchsschwanz","Amarant, Fuchsschwanz","Amarant, Fuchsschwanz","Amarant, Fuchsschwanz","Amarant, Fuchsschwanz","Amarant (Fuchsschwanz), Amarant, Fuchsschwanz",1,,,
190,Alle (anderen) Getreidearten,Alle (anderen) Getreidearten,Alle (anderen) Getreidearten,"Getreide einer Gattung/Art, die in der aktuellen Liste nicht
aufgeführt ist1",,,,,"Getreide einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,"Getreide einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,,"Getreide einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist","Alle (anderen) Getreidearten, Getreide einer Gattung/Art, die in der aktuellen Liste nicht
aufgeführt ist1, Getreide einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",1,,,
210,Erbsen zur Körnergewinnung,Erbsen zur Körnergewinnung,,Erbsen (Frisch- / Speiseerbsen Freiland)2,Erbsen zur Körnergewinnung²,"Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse,
Peluschke)","Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse,
Peluschke)","Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse,
Peluschke)","Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse, Peluschke)","Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse, Peluschke)","Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse, Peluschke)","Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse,
Peluschke)","Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse, Peluschke)","Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse, Peluschke)","Erbsen zur Körnergewinnung, Erbsen (Frisch- / Speiseerbsen Freiland)2, Erbsen zur Körnergewinnung², Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse,
Peluschke), Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse, Peluschke)",,,Erbsen,210
211,,,,Gemüseerbsen2,"Gemüseerbse² (Markterbse, Schalerbse, Zuckererbse)","Gemüseerbse (Markerbse, Schalerbse, Zuckerebse)","Gemüseerbse (Markerbse, Schalerbse, Zuckerebse)","Gemüseerbse (Markerbse, Schalerbse, Zuckerebse)","Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)","Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)","Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)","Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)","Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)","Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)","Gemüseerbsen2, Gemüseerbse² (Markterbse, Schalerbse, Zuckererbse), Gemüseerbse (Markerbse, Schalerbse, Zuckerebse), Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)",,,Erbsen,210
220,"Acker-, Puff-, Pferdebohnen zur Körnergewinnung","Acker-, Puff-, Pferdebohnen zur Körnergewinnung",,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne2,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne2,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,"Acker-, Puff-, Pferdebohnen zur Körnergewinnung, Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne2, Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne",1,,,
221,,,,"Wicken (Pannonische, Zottelwicke, Saatwicke)2","Wicken (Pannonische, Zottelwicke, Saatwicke)2","Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)",,,"Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)","Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)","Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)","Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)","Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)","Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)","Wicken (Pannonische, Zottelwicke, Saatwicke)2, Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)",1,,,
230,Süßlupinen zur Körnergewinnung,Süßlupinen zur Körnergewinnung,,"Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2",,"Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe
Lupine, Anden-Lupine)","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe
Lupine, Anden-Lupine)","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe
Lupine, Anden-Lupine)","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine,
gelbe Lupine, Anden-Lupine)","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe Lupine,","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe Lupine,","Süßlupinen zur Körnergewinnung, Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2, Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe
Lupine, Anden-Lupine), Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine,
gelbe Lupine, Anden-Lupine), Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe Lupine,",,,Lupinen,230
230,Süßlupinen zur Körnergewinnung,Süßlupinen zur Körnergewinnung,,"Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2",,"Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe
Lupine, Anden-Lupine)","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe
Lupine, Anden-Lupine)","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe
Lupine, Anden-Lupine)","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine,
gelbe Lupine, Anden-Lupine)",Anden-Lupine),Anden-Lupine),"Süßlupinen zur Körnergewinnung, Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige
Lupine, gelbe Lupine, Anden-Lupine)2, Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe
Lupine, Anden-Lupine), Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine,
gelbe Lupine, Anden-Lupine), Anden-Lupine)",,,Lupinen,230
240,Erbsen / Bohnen zur Körnergewinnung,Erbsen / Bohnen zur Körnergewinnung,,Erbsen/Bohnen,Erbsen/Bohnen²,Erbsen/Bohnen,Erbsen/Bohnen,Erbsen/Bohnen,Erbsen/Bohnen,Erbsen/Bohnen,Erbsen/Bohnen,Erbsen/Bohnen,Erbsen/Bohnen,Erbsen/Bohnen,"Erbsen / Bohnen zur Körnergewinnung, Erbsen/Bohnen, Erbsen/Bohnen²",,,Erbsen,210
250,Gemenge Erbsen / Getreide,Gemenge Erbsen / Getreide,,Gemenge Leguminosen / Getreide,Gemenge Leguminosen / Getreide,Gemenge Leguminosen/Getreide,Gemenge Leguminosen/Getreide,Gemenge Leguminosen/Getreide,Gemenge Leguminosen/Getreide,Gemenge Leguminosen/Getreide,Gemenge Leguminosen/Getreide,Gemenge Leguminose/Getreide (Leguminiose überwiegt),Gemenge Leguminose/Getreide (Leguminose überwiegt),Gemenge Leguminose/Getreide (Leguminose überwiegt),"Gemenge Erbsen / Getreide, Gemenge Leguminosen / Getreide, Gemenge Leguminosen/Getreide, Gemenge Leguminose/Getreide (Leguminiose überwiegt), Gemenge Leguminose/Getreide (Leguminose überwiegt)",1,,,
290,Alle (anderen) Hülsenfrüchte zur Körnergewinnung,Alle (anderen) Hülsenfrüchte zur Körnergewinnung,,"Hülsenfrucht einer Gattung/Art, die in der aktuellen Liste nicht",,,,,"Hülsenfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,"Hülsenfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,,"Hülsenfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist","Alle (anderen) Hülsenfrüchte zur Körnergewinnung, Hülsenfrucht einer Gattung/Art, die in der aktuellen Liste nicht, Hülsenfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",1,,,
292,,,,Linsen (Speise-Linse)2,Linsen (Speise-Linse)2,Linsen (Speise-Linse),Linsen (Speise-Linse),Linsen (Speise-Linse),Linsen,Linsen,Linsen,,,Linsen,"Linsen (Speise-Linse)2, Linsen (Speise-Linse), Linsen",1,,,
311,Winterraps zur Körnergewinnung,Winterraps zur Körnergewinnung,,Winterraps,Winterraps,Winterraps,Winterraps,Winterraps,Winterraps,Winterraps,Winterraps,Winterraps,Winterraps,Winterraps,"Winterraps zur Körnergewinnung, Winterraps",,,Raps,312
312,Sommerraps zur Körnergewinnung,Sommerraps zur Körnergewinnung,,Sommerraps,Sommerraps,Sommerraps,Sommerraps,Sommerraps,Sommerraps,Sommerraps,Sommerraps,Sommerraps,Sommerraps,Sommerraps,"Sommerraps zur Körnergewinnung, Sommerraps",,,Raps,312
315,Winterrübsen zur Körnergewinnung,Winterrübsen zur Körnergewinnung,,"Winterrübsen (Rübsen, Rübsamen, Rübsaat)","Winterrübsen (Ölrettich, Rübsen, Rübsamen, Rübsaat)","Winterrübsen (Rübsen, Rübsamen, Rübsaat)","Winterrübsen (Rübsen, Rübsamen, Rübsaat)","Winterrübsen (Rübsen, Rübsamen, Rübsaat)","Winterrübsen (Rübsen, Rübsamen, Rübsaat)","Winterrübsen (Rübsen, Rübsamen, Rübsaat)","Winterrübsen (Rübsen, Rübsamen, Rübsaat)","Winterrübsen (Rübsen, Rübsamen, Rübsaat)",,"Winterrübsen (Rübsen, Rübsamen, Rübsaat)","Winterrübsen zur Körnergewinnung, Winterrübsen (Rübsen, Rübsamen, Rübsaat), Winterrübsen (Ölrettich, Rübsen, Rübsamen, Rübsaat)",,,Rübsen,316
316,Sommerrübsen zur Körnergewinnung,Sommerrübsen zur Körnergewinnung,,"Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen (Rübsen, Rübsamen, Rübsaat)","Sommerrübsen zur Körnergewinnung, Sommerrübsen (Rübsen, Rübsamen, Rübsaat)",,,Rübsen,316
320,Sonnenblumen zur Körnergewinnung,Sonnenblumen zur Körnergewinnung,,Sonnenblumen,Sonnenblumen,Sonnenblumen,Sonnenblumen,Sonnenblumen,Sonnenblumen,Sonnenblumen,Sonnenblumen,Sonnenblumen,Sonnenblumen,Sonnenblumen,"Sonnenblumen zur Körnergewinnung, Sonnenblumen",1,,,
330,,,,Sojabohnen2,Sojabohnen2,Sojabohnen,Sojabohnen,Sojabohnen,Sojabohnen,Sojabohnen,Sojabohnen,Sojabohnen,Sojabohnen,Sojabohnen,"Sojabohnen2, Sojabohnen",1,,,
341,Öllein zur Körnergewinnung,Öllein zur Körnergewinnung,,"Lein (Gemeiner Lein, Flachs)","Lein, Flachs","Lein, Flachs","Lein, Flachs","Lein, Flachs","Lein, Flachs","Lein, Flachs","Lein, Flachs","Lein, Flachs","Lein, Flachs","Lein, Flachs","Öllein zur Körnergewinnung, Lein (Gemeiner Lein, Flachs), Lein, Flachs",1,,,
390,Alle (anderen) Ölfrüchte,Alle (anderen) Ölfrüchte,,"Ölfrucht einer Gattung/Art, die in der aktuellen Liste nicht",,,,,"Ölfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,"Ölfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,,"Ölfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist","Alle (anderen) Ölfrüchte, Ölfrucht einer Gattung/Art, die in der aktuellen Liste nicht, Ölfrucht einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",1,,,
392,,,,Krambe/ Meerkohl (Echter Meerkohl),Meerkohl/Krambe,Meerkohl/Krambe,Meerkohl/Krambe,Meerkohl/Krambe,Meerkohl/Krambe,Meerkohl/Krambe,Meerkohl/Krambe,Meerkohl/Krambe,Meerkohl/Krambe,Meerkohl/Krambe,"Krambe/ Meerkohl (Echter Meerkohl), Meerkohl/Krambe",1,,,
413,Runkel-Futterrüben,Runkel-Futterrüben,,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,"Runkel-Futterrüben, Futterrübe/Runkelrübe",1,,,
