kulturcode,kulturart 2012,kulturart 2013,kulturart 2014,kulturart 2015,kulturart 2016,kulturart 2017,kulturart 2018,kulturart 2019,kulturart 2020,kulturart 2021,kulturart 2022,kulturart 2023,kulturart 2024,latest_kulturart,all_kulturart,take_latest,take_Gruppe,new_kulturart,new_kulturcode
760,,,,Pampasgräser (Amerikanisches Pampasgras),Amerikanisches Pampasgras,Pampasgräser (Amerikanisches Pampasgras),Pampasgräser (Amerikanisches Pampasgras),Pampasgräser (Amerikanisches Pampasgras),Pampasgräser (Amerikanisches Pampasgras),Pampasgräser (Amerikanisches Pampasgras),Pampasgräser (Amerikanisches Pampasgras),Pampasgräser (Amerikanisches Pampasgras),Pampasgräser (Amerikanisches Pampasgras),Pampasgräser (Amerikanisches Pampasgras),"Pampasgräser (Amerikanisches Pampasgras), Amerikanisches Pampasgras",,,,
761,Tabak Sortengruppe I FLUE CURED (z. B. Virgin D und Hybriden … ),Tabak Sortengruppe I FLUE CURED (z. B. Virgin D und Hybriden … ),,Kosmeen (Gemeines Schmuckkörbchen),Gemeines Schmuckkörbchen,Kosmeen (Gemeines Schmuckkörbchen),Kosmeen (Gemeines Schmuckkörbchen),Kosmeen (Gemeines Schmuckkörbchen),Kosmeen (Gemeines Schmuckkörbchen),Kosmeen (Gemeines Schmuckkörbchen),Kosmeen (Gemeines Schmuckkörbchen),Kosmeen (Gemeines Schmuckkörbchen),Kosmeen (Gemeines Schmuckkörbchen),Kosmeen (Gemeines Schmuckkörbchen),"Tabak Sortengruppe I FLUE CURED (z. B. Virgin D und Hybriden … ), Kosmeen (Gemeines Schmuckkörbchen), Gemeines Schmuckkörbchen",,,,
762,Tabak Sortengruppe II LIGHT AIR CURED (z. B. Badischer Burley und Hybriden …),Tabak Sortengruppe II LIGHT AIR CURED (z. B. Badischer Burley und Hybriden …),,Nachtkerzen (Diptam),Aschwurz (Diptam),Nachtkerzen (Diptam),Nachtkerzen (Diptam),Nachtkerzen (Diptam),Nachtkerzen (Diptam),Nachtkerzen (Diptam),Nachtkerzen (Diptam),Nachtkerzen (Diptam),Nachtkerzen (Diptam),Nachtkerzen (Diptam),"Tabak Sortengruppe II LIGHT AIR CURED (z. B. Badischer Burley und Hybriden …), Nachtkerzen (Diptam), Aschwurz (Diptam)",,,,
763,Tabak Sortengruppe III DARK AIR CURED (z. B. Badischer Geudertheimer und Hybriden …) ,Tabak Sortengruppe III DARK AIR CURED (z. B. Badischer Geudertheimer und Hybriden …) ,,Oenothera/Nachtkerzen (Gewöhnliche Nachtkerze),Gewöhnliche Nachtkerze,Nachtkerzen (Oenothera),Nachtkerzen (Oenothera),Nachtkerzen (Oenothera),Nachtkerzen (Oenothera),Nachtkerzen (Oenothera),Nachtkerzen (Oenothera),Nachtkerzen (Oenothera),Nachtkerzen (Oenothera),Nachtkerzen (Oenothera),"Tabak Sortengruppe III DARK AIR CURED (z. B. Badischer Geudertheimer und Hybriden …) , Oenothera/Nachtkerzen (Gewöhnliche Nachtkerze), Gewöhnliche Nachtkerze, Nachtkerzen (Oenothera)",,,,
764,,,,Königskerzen (Großblütige Königskerze),Großblütige Königskerze,Königskerzen (Großblütige Königskerze),Königskerzen (Großblütige Königskerze),Königskerzen (Großblütige Königskerze),Königskerzen (Großblütige Königskerze),Königskerzen (Großblütige Königskerze),Königskerzen (Großblütige Königskerze),Königskerzen (Großblütige Königskerze),Königskerzen (Großblütige Königskerze),Königskerzen (Großblütige Königskerze),"Königskerzen (Großblütige Königskerze), Großblütige Königskerze",,,,
765,,,,Kapuzinerkressen (Große Kapuzinerkresse),Kapuzinerkresse,Kapuzinerkresse,Kapuzinerkresse,Kapuzinerkresse,Kapuzinerkresse,Kapuzinerkresse,Kapuzinerkresse,Kapuzinerkresse,Kapuzinerkresse,Kapuzinerkresse,"Kapuzinerkressen (Große Kapuzinerkresse), Kapuzinerkresse",,,,
766,,,,"Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-
Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-
Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-
Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-
Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-
Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-Pfingstrose)","Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-
Pfingstrose), Pfingstrosen/Päonien (Gemeine Pfingstrose, Strauch-Pfingstrose)",,,,
770,"Heil-, Duft- und Gewürzpflanzen","Heil-, Duft- und Gewürzpflanzen",,Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),Vergissmeinnicht (Wald-Vergissmeinnicht),"Heil-, Duft- und Gewürzpflanzen, Vergissmeinnicht (Wald-Vergissmeinnicht)",,,,
771,Küchenkräuter,Küchenkräuter,,Portulak,Portulak,Portulak,Portulak,Portulak,Portulak,Portulak,Portulak,Portulak,Portulak,Portulak,"Küchenkräuter, Portulak",,,,
773,,,,Ageratum (Gewöhnlicher Leberbalsam),Ageratum (Gewöhnlicher Leberbalsam),Gewöhnlicher Leberbalsam (Ageratum),Gewöhnlicher Leberbalsam (Ageratum),Gewöhnlicher Leberbalsam (Ageratum),Gewöhnlicher Leberbalsam (Ageratum),Gewöhnlicher Leberbalsam (Ageratum),Gewöhnlicher Leberbalsam (Ageratum),Gewöhnlicher Leberbalsam (Ageratum),Gewöhnlicher Leberbalsam (Ageratum),Gewöhnlicher Leberbalsam (Ageratum),"Ageratum (Gewöhnlicher Leberbalsam), Gewöhnlicher Leberbalsam (Ageratum)",,,,
